Head_id,Link,Dep_id,Sentence_no,Partition
T1,Pre_Clause-Arg,T4,0,3
T4,And_Or_Arg,T5,0,3
T4,And_Or_Arg,T2,0,3
T4,Post_Clause-Arg,T12,0,3
T5,Argument-Arg,T10,0,3
T10,And_Or_Arg,T6,0,3
T10,And_Or_Arg,T9,0,3
T12,Retrn_val-Arg,T13,0,3
T15,Argument-Arg,T16,1,3
T15,Argument-Arg,T14,1,3
T18,Pre_Clause-Arg,T20,2,3
T20,Argument-Arg,T17,2,3
T20,Argument-Arg,T19,2,3
T20,Post_Clause-Arg,T29,2,3
T29,Argument-Arg,T31,2,3
T29,Argument-Arg,T30,2,3
T34,Argument-Arg,T33,3,3
T34,Argument-Arg,T35,3,3
T34,Post_Clause-Arg,T37,3,3
T37,Retrn_val-Arg,T32,3,3
T38,Pre_Clause-Arg,T34,3,3
T39,Pre_Clause-Arg,T41,4,3
T41,Argument-Arg,T42,4,3
T41,Argument-Arg,T40,4,3
T41,Post_Clause-Arg,T44,4,3
T44,Argument-Arg,T46,4,3
T47,Argument-Arg,T45,4,3
T47,Argument-Arg,T46,4,3
T48,And_Or_Arg,T49,4,3
T48,And_Or_Arg,T45,4,3
T49,Argument-Arg,T45,4,3
T51,Argument-Arg,T46,4,3
T54,Argument-Arg,T53,5,3
T54,Argument-Arg,T55,5,3
T56,And_Or_Arg,T54,5,3
T56,And_Or_Arg,T58,5,3
T58,Argument-Arg,T57,5,3
T58,Argument-Arg,T59,5,3
T60,Argument-Arg,T61,5,3
T62,Argument-Arg,T60,5,3
T68,And_Or_Arg,T66,6,3
T68,And_Or_Arg,T67,6,3
T69,Argument-Arg,T68,6,3
T69,Argument-Arg,T70,6,3
T72,Argument-Arg,T71,6,3
T74,Argument-Arg,T75,6,3
T78,Argument-Arg,T77,6,3
T78,Argument-Arg,T79,6,3
T80,Argument-Arg,T71,6,3
T73,Argument-Arg,T71,6,3
T73,Argument-Arg,T74,6,3
T77,Argument-Arg,T71,6,3
T83,Argument-Arg,T84,7,3
T83,Post_Clause-Arg,T87,7,3
T85,Argument-Arg,T84,7,3
T87,Retrn_val-Arg,T88,7,3
T89,Pre_Clause-Arg,T101,8,3
T90,Pre_Clause-Arg,T102,9,3
T91,Argument-Arg,T94,8,3
T91,Argument-Arg,T95,8,3
T92,Argument-Arg,T93,9,3
T92,Argument-Arg,T96,9,3
T97,Argument-Arg,T91,8,3
T97,Argument-Arg,T99,8,3
T98,Argument-Arg,T92,9,3
T98,Argument-Arg,T100,9,3
T101,And_Or_Arg,T97,8,3
T101,And_Or_Arg,T103,8,3
T101,Post_Clause-Arg,T109,8,3
T102,And_Or_Arg,T106,9,3
T102,And_Or_Arg,T98,9,3
T102,Post_Clause-Arg,T110,9,3
T103,Argument-Arg,T104,8,3
T103,Argument-Arg,T107,8,3
T106,Argument-Arg,T105,9,3
T106,Argument-Arg,T108,9,3
T109,Retrn_val-Arg,T111,8,3
T110,Retrn_val-Arg,T112,9,3
T119,Argument-Arg,T117,11,3
T119,Argument-Arg,T116,11,3
T129,And_Or_Arg,T119,11,3
T129,And_Or_Arg,T131,11,3
T129,Post_Clause-Arg,T138,11,3
T131,And_Or_Arg,T133,11,3
T131,And_Or_Arg,T132,11,3
T134,Argument-Arg,T131,11,3
T134,Argument-Arg,T135,11,3
T138,Retrn_val-Arg,T139,11,3
T149,Pre_Clause-Arg,T151,22,3
T151,Post_Clause-Arg,T156,22,3
T151,Argument-Arg,T125,22,3
T152,Argument-Arg,T65,22,3
T154,Argument-Arg,T151,22,3
T154,Argument-Arg,T65,22,3
T156,Retrn_val-Arg,T157,22,3
T158,Pre_Clause-Arg,T189,17,3
T159,Pre_Clause-Arg,T194,18,3
T160,Pre_Clause-Arg,T199,19,3
T161,Pre_Clause-Arg,T203,20,3
T162,Pre_Clause-Arg,T150,21,3
T165,Retrn_val-Arg,T166,23,3
T169,Argument-Arg,T168,23,3
T169,Argument-Arg,T170,23,3
T171,Argument-Arg,T172,23,3
T171,Argument-Arg,T170,23,3
T173,And_Or_Arg,T169,23,3
T173,And_Or_Arg,T174,23,3
T174,Argument-Arg,T242,23,3
T174,Argument-Arg,T213,23,3
T184,Retrn_val-Arg,T176,17,3
T185,Retrn_val-Arg,T175,18,3
T186,Retrn_val-Arg,T177,19,3
T187,Retrn_val-Arg,T178,20,3
T188,Retrn_val-Arg,T179,21,3
T192,And_Or_Arg,T191,17,3
T192,And_Or_Arg,T190,17,3
T189,Argument-Arg,T192,17,3
T189,Post_Clause-Arg,T184,17,3
T194,Argument-Arg,T193,18,3
T194,Post_Clause-Arg,T185,18,3
T195,Argument-Arg,T197,19,3
T199,Argument-Arg,T198,19,3
T199,Argument-Arg,T197,19,3
T199,Post_Clause-Arg,T186,19,3
T202,Argument-Arg,T201,20,3
T203,And_Or_Arg,T205,20,3
T203,And_Or_Arg,T206,20,3
T203,Post_Clause-Arg,T187,20,3
T205,Argument-Arg,T201,20,3
T206,Argument-Arg,T204,20,3
T207,Argument-Arg,T204,20,3
T207,Argument-Arg,T200,20,3
T209,Argument-Arg,T208,21,3
T209,Argument-Arg,T210,21,3
T211,Pre_Clause-Arg,T215,12,3
T212,Argument-Arg,T214,12,3
T215,Argument-Arg,T216,12,3
T215,Argument-Arg,T212,12,3
T215,Post_Clause-Arg,T218,12,3
T218,Retrn_val-Arg,T219,12,3
T220,Argument-Arg,T221,13,3
T222,Argument-Arg,T220,13,3
T222,Argument-Arg,T223,13,3
T223,Argument-Arg,T224,13,3
T226,Argument-Arg,T228,14,3
